"1";"ADCOBO";"ADYASENCIA";"AD COMBITA BOYACA";"COM";"COMBITA";"BOYACA";"15204000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.6 BOGOTÁ CENTRAL";"162";"1.6.2 CUNDINAMARCA";"132";"1.6.2.1 ESPINAL";"1312";"CL";"CLARO";"BID";"NAC"
"2";"ADCOTO";"ADYASENCIA";"AD COELLO TOLIMA";"CEL";"COELLO";"TOLIMA";"73200000";"ADYASENCIA";"ADYASENCIA";"3. OCCIDENTE";"0";"0";"0";"BID";"3";"3.3 OCCIDENTE CAFETERO";"331";"3.3.1 IBAGUE-HONDA";"399";"3.9.9.9 DISTRITO INACTIVO";"3999";"CL";"CLARO";"BID";"NAC"
"3";"ADNICU";"ADYASENCIA";"AD NILO CUNDIN";"NIL";"NILO";"CUNDINAMARCA";"25488000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.6 BOGOTÁ CENTRAL";"162";"1.6.2 CUNDINAMARCA";"199";"1.9.9.9 DISTRITO INACTIVO";"1999";"CL";"CLARO";"BID";"NAC"
"4";"ADPABO";"ADYASENCIA";"AD PAIPA BOYACA";"PAI";"PAIPA";"BOYACA";"15516000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.6 BOGOTÁ CENTRAL";"162";"1.6.2 CUNDINAMARCA";"132";"1.6.2.1 ESPINAL";"1312";"CL";"CLARO";"BID";"NAC"
"5";"ADRICU";"ADYASENCIA";"AD RICAURTE CUNDIN";"RIT";"RICAURTE";"CUNDINAMARCA";"25612000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.6 BOGOTÁ CENTRAL";"162";"1.6.2 CUNDINAMARCA";"03D";"1.6.2.3 GIRARDOT";"1312";"CL";"CLARO";"BID";"NAC"
"6";"ADSICU";"ADYASENCIA";"AD SIBATE CUNDIN";"SBT";"SIBATE";"CUNDINAMARCA";"25740000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.1 BOGOTÁ OCCIDENTE";"111";"1.1.1 SOACHA";"14X";"1.1.1.4 SIBATE";"1999";"TC";"TELCOS INGENIERIA S.A.";"BID";"NAC"
"7";"ADTIBO";"ADYASENCIA";"AD TIBASOSA BOYAC";"TIB";"TIBASOSA";"BOYACA";"15806000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.2 BOGOTÁ NORTE";"125";"1.2.5 BOYACA";"199";"1.9.9.9 DISTRITO INACTIVO";"1999";"CL";"CLARO";"BID";"NAC"
"8";"ADTICU";"ADYASENCIA";"AD TIBACUY CUNDIN";"TBC";"TIBACUY";"CUNDINAMARCA";"25805000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.6 BOGOTÁ CENTRAL";"162";"1.6.2 CUNDINAMARCA";"199";"1.9.9.9 DISTRITO INACTIVO";"1999";"CL";"CLARO";"BID";"NAC"
"9";"ADTUBO";"ADYASENCIA";"AD TUTA BOYACA";"TUT";"TUTA";"BOYACA";"15837000";"ADYASENCIA";"ADYASENCIA";"1. CENTRO";"0";"0";"0";"BID";"1";"1.6 BOGOTÁ CENTRAL";"163";"1.6.3 CHAPINERO";"20B";"1.6.3.3 GUAVIARE";"1999";"CL";"CLARO";"BID";"NAC"
"10";"01J";"MONT-MONT-H-01-ARRIC4";"LA JULIA BUENAVISTA 1-01";"MTR";"MONTERIA";"CÓRDOBA";"23001000";"39994";"BIDIRECCIONAL";"2. NORTE";"166";"43";"97";"BID";"2";"2.1 COSTA";"216";"2.1.6 CORDOBA-SUCRE";"2AM";"2.1.6.5 MONTERIA 1";"2104";"SC";"SICTE LTDA";"BID";"ACT"
