"1","CONTRASENA DE DIFICIL RECORDACION","1","1"
"2","CONTRASENA WIFI COMPLEJA ","1","1"
"3","CLIENTE REPORTA SE ESTAN COLGANDO A SU RED WIFI ","1","1"
"4","NO LE GUSTA EL NOMBRE ACTUAL DE SU RED Y/O CLAVE","1","1"
"5","NO ES UNA CLAVE SEGURA","1","1"
"6","PANTALLA EN NEGRO","1","2"
"7","OMITE O SALTA LA FRECUENCIA","1","2"
"8","PLACA DE SIN SENAL ","1","2"
"9","SI- EL CLIENTE ACEPTO","1","3"
"10","NO- EL CLIENTE NO DESEA EL CAMBIO","1","3"
"11","NO APLICA- NO ES CLIENTE CON PLAN >= 10MEGAS O YA TIENE DOCSIS 3.0","1","3"
"12","SIN SENAL","1","4"
"13","AUSENCIA DE CANALES","1","4"
"14","VOLUMEN VARIA ENTRE PROGRAMA Y COMERCIALES ","1","5"
"15","VOLUMEN VARIA ENTRE CAMBIO DE CANALES ","1","5"
"16","VOLUMEN VARIA EN UN MISMO PROGRAMA","1","5"
"17","SIN AUDIO EN ALGUN TRACK","1","7"
"18","SIN AUDIO EN TODOS LOS TRACK","1","7"
"19","SIN AUDIO EN EL IDIOMA ALTERNATIVO ","1","7"
"20","SIN SENAL","1","6"
"21","ERROR NULL O 8888","1","6"
"22","ERRORES DE TARJETA","1","6"
"23","SOPORTE GRABACIONES","1","6"
"24","SIN AUDIO O SUBTITULOS","1","6"
"25","DECODIFICADOR EN BUCLE ","1","6"
"26","BLOQUEO DE DECODIFICADOR","1","6"
"27","PLACA CANAL NO DISPONIBLE","1","6"
"28","SIN INFORMACION EN LA GUÍA ","1","6"
"29","SIN SENAL ALGUNOS CANALES","1","6"
"30","SENAL INTERMITENTE O PIXELADA","1","6"
"31","ARREGLOS","1","8"
"32","TRASLADOS","1","8"
"33","INSTALACIONES","1","8"
"34","POSTVENTA","1","8"
"35","RECONEXION","1","8"
"36","DESCONEXION ","1","8"
"37","CONTROL REMOTO ","1","8"
"38","ARREGLOS","1","9"
"39","TRASLADOS","1","9"
"40","INSTALACIONES","1","9"
"41","POSTVENTA","1","9"
"42","RECONEXION ","1","9"
"43","DESCONEXION ","1","9"
"44","MEDICION VISITAS CLIENTE NO ESTA EN CASA","1","10"
"45","SI REINCIDENCIA","1","11"
"46","NO REINCIDENCIA ","1","11"
"47","CLIENTE REPORTA DISPOSITIVO ","1","12"
"48","FALLA EN TELEVISION","1","13"
"49","FALLA EN CLARO VIDEO ","1","13"
"50","FALLA EN TELEVISION Y CLARO VIDEO ","1","13"
"51","OTRAS FALLAS","1","13"
"52","SERIALES NO COINCIDEN","1","14"
"53","MENOS DE 15 DIAS","1","15"
"54","ENTRE 15 DIAS Y 1 MES","1","15"
"55","ENTRE 1 MES Y 2 MESES","1","15"
"56","ENTRE 2 MESES Y 3 MESES","1","15"
"57","MAS DE 3 MESES","1","15"
"58","EN TODOS LOS CANALES MENOS EL 107","1","16"
"59","ALGUNOS CANALES","1","16"
"60","CLAVE WI-FI - PORTAL MI-CLARO","1","17"
"61","INTERNET REINICIO DE CM","1","17"
"62","BLOQUEO DE PC O DISPOSITIVOS EXTERNOS CLIENTE - CON SOLUCION","1","17"
"63","INFORMACION DE FUNCIONALIDADES DE TELEFONIA","1","17"
"64","BLOQUEO DE IDENTIFICADOR DE LLAMADAS","1","17"
"65","PERSONALIZACION DEL CANAL WI-FI  ","1","17"
"66","CONFIGURACION CONTROL REMOTO","1","17"
"67","ANTES DE SALIR DEL PREDIO SE DIO CUENTA DE LA FALLA DEL SERVICIO.","1","18"
"68","UN TERCERO SE COMUNICO CON USUARIO PARA INFORMAR LA FALLA.","1","18"
"69","PARA TELEFONIA (EL CLIENTE MARCO A LA LINEA DETECTANDO FALLA).","1","18"
"70","CLIENTE MOLESTO POR REINCIDENCIA NO DESEA HACER SOPORTE.","1","18"
"71","CLIENTE NO SABE MANEJAR EQUIPOS.","1","18"
"72","CLIENTE NO TIENE DISPONIBLES LOS EQUIPOS PARA PRUEBAS.","1","18"
"73","CLIENTE TIENE FALLAS EN SUS EQUIPOS NO PUEDE REALIZAR PRUEBAS.","1","18"
"74","CLIENTE SOLO DESEA QUE LE PROGRAMEN VISITA.","1","18"
"75","CLIENTE MANIPULO CONEXIONES SIN INFORMACION SOLUCIONANDO FALLA.","1","18"
"76","INFORMA FALLAS REITERATIVAS PERO AL VALIDAR EL SERVICIO ESTA OK.","1","18"
"77","POR DISPONIBILIDAD DE TIEMPO","1","19"
"78","NO LA CREE NECESARIA","1","19"
"79","CUPOS DE VISITA LEJANOS.","1","19"
"80","YOUTUBE – PELICULAS ONLINE","1","20"
"81","NAVEGACION","1","20"
"82","JUEGOS ONLINE","1","20"
"83","DESCARGAS","1","20"
"84","VIDEO CONFERENCIAS","1","20"
"85","TODAS LAS ANTERIORES","1","20"
"86","CANALES CON PLACA RF","1","21"
"87","SALTA U OMITE CANALES","1","21"
"88","CANALES CON PANTALLA EN NEGRO","1","21"
