"1","INFORME MOTIVO CAMBIO DE CONTRASENA","1","2"
"2","INFORME MOTIVO AUSENCIA DE CANALES","1","4"
"3","ALTAS VELOCIDADES","1","2"
"4","ESCALAMIENTO CAV","1","4"
"5","VARIACION DE AUDIO ","1","4"
"6","RESET FISICO TELEVISION","1","4"
"7","CANALES SIN AUDIO ","1","4"
"8","INCUMPLIMIENTOS DE VISITA","1","1"
"9","INSATISFACCION DE VISITA","1","1"
"10","VISITA SOPORTE FALLIDO","1","1"
"11","PILOTO TELEFONIA TONO DESCONECTADO ","1","3"
"12","EQUIPOS CLARO VIDEO","1","4"
"13","ESCALAMIENTO NAGRA","1","4"
"14","SERIALES CHIP ID","1","4"
"15","CANAL NO DISPONIBLE","1","4"
"16","CANAL NO DISPONIBLE 2","1","4"
"17","INFOGRAFIA CLIENTES","1","1"
"18","ESCENARIOS SOPORTE FALLIDO","1","3"
"19","CLIENTE NO DESEA VISITA","1","3"
"20","REINICIO MODEM","1","2"
"21","AUSENCIA DE CANALES","1","4"
"22","DS","1","1"
